Bad Blood	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Bad Blood	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Bad Blood	Background Vocals,Nonsense Vocals (lead and/or background)	Chorus 4
Bang Bang	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Bang Bang	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Bang Bang	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Bang Bang	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Bang Bang	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Bang Bang	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Bang Bang	Background Vocals,Creatively Sung Vocals,Scream	Pre-Chorus 3
Bang Bang	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Narration	Chorus 2
Bang Bang	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Blank Space	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Blank Space	Background Vocals,Repeat/Call and Response Vocals,Scream	Bridge 1
Blank Space	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Blank Space	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Blank Space	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Boom Clap	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Chorus 1
Boom Clap	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals	Chorus 2
Boom Clap	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Dark Horse	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Dark Horse	Background Vocals,Repeat/Call and Response Vocals	Pre-Chorus 1
Dark Horse	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Chorus 1
Dark Horse	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Dark Horse	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Dark Horse	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Dark Horse	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Narration,Pitch-Processed Vocal	Chorus 2
Dark Horse	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Pitch-Processed Vocal	Chorus 3
Drag Me Down	Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Drag Me Down	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Drag Me Down	Background Vocals	Verse 2
Drag Me Down	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Drag Me Down	Background Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Drag Me Down	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Earned It	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 1
Earned It	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Earned It	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 1
Earned It	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Bridge 1
Earned It	Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Outro
Earned It	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Earned It	Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Earned It	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Earned It	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Ex's And Oh's	Nonsense Vocals (lead and/or background)	Verse 1
Fight Song	Background Vocals,Repeat/Call and Response Vocals	Verse 1
Fight Song	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Fight Song	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 1
Fight Song	Background Vocals,Repeat/Call and Response Vocals	Verse 2
Fight Song	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
Fight Song	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Chorus 2
Fight Song	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Chorus 3
Focus	Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Intro
Focus	Background Vocals	Verse 1
Focus	Background Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 1
Focus	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Chorus 1
Focus	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background),Standout Title Vocal	Outro
Focus	Background Vocals,Creatively Sung Vocals,Nonsense Vocals (lead and/or background)	Inst. Break 1
Focus	Background Vocals,Nonsense Vocals (lead and/or background)	Verse 2
Focus	Background Vocals,Creatively Sung Vocals,Repeat/Call and Response Vocals,Nonsense Vocals (lead and/or background)	Pre-Chorus 2
