Song,Artist,Hook Based Intro (All),Instrumental Hook (All),Instrumental Hook (Foundational),Instrumental Hook (Melodic),Instrumental Hook (Hip Hop Beat),Vocal Hook (All),Vocal Hook (Lead Vocal),Vocal Hook (Background/Embellishment),Vocal Hook (Hip Hop Beat)
Not A Bad Thing,Justin Timberlake,X,X,,X,,,,,
Pompeii,Bastille,X,,,,,X,,X,
Problem,Ariana Grande featuring Iggy Azalea,X,X,,X,,X,X,,
Rather Be,Clean Bandit featuring Jess Glynne,X,X,X,,,,,,
Shake It Off,Taylor Swift,X,X,X,,,,,,
Talk Dirty,Jason Derulo featuring 2 Chainz,X,X,X,,,,,,
Turn Down For What,"DJ Snake, Lil Jon",X,,,,,X,X,,
Uptown Funk!,Mark Ronson featuring Bruno Mars,X,,,,,X,,X,
Wiggle,Jason Derulo featuring Snoop Dogg,X,,,,,X,X,X,
Centuries,Fall Out Boy,X,,,,,X,,X,
Ex's & Oh's,Elle King,X,X,X,,,,,,
Hey Mama,"David Guetta featuring Afrojack, Bebe Rexha, Nicki Minaj",X,,,,,X,,X,
Hotline Bling,Drake,X,,,,,X,X,,
Photograph,Ed Sheeran,X,X,,X,,,,,
Same Old Love,Selena Gomez,X,X,X,,,,,,
Shut Up And Dance,Walk The Moon,X,X,X,,,,,,
Somebody,Natalie La Rose featuring Jeremih,X,X,X,X,,,,,
Sorry,Justin Bieber,X,X,,X,,X,,X,
What Do You Mean?,Justin Bieber,X,X,X,,,,,,
Where Are U Now,Jack U featuring Justin Bieber,X,,,,,X,X,,
7 Years,Lukas Graham,X,X,,X,,,,,
Cake By The Ocean,DNCE,X,X,X,,,,,,
Closer,The Chainsmokers featuring Halsey,X,X,,X,,,,,
Dangerous Woman,Ariana Grande,X,X,X,,,,,,
Don't Let Me Down,The Chainsmokers featuring Daya,X,X,X,,,,,,
Don't Wanna Know,Maroon 5 featuring Kendrick Lamar,X,,,,,X,,X,
Fake Love,Drake,X,X,,,X,,,,
Formation,Beyonce,X,X,,X,,,,,
I Don't Wanna Live Forever (Fifty Shades Darker),"Taylor Swift, Zayn",X,,,,,X,,X,
My House,Flo Rida,X,X,X,,,,,,
No,Meghan Trainor,X,,,,,X,X,,
One Dance,"Drake featuring Kyla, WizKid",X,,,,,X,X,,
Pillowtalk,Zayn,X,,,,,X,,X,
Work From Home,Fifth Harmony featuring Ty Dolla $ign,X,X,X,,,,,,
Attention,Charlie Puth,X,X,X,,,,,,
Body Like A Back Road,Sam Hunt,X,X,,X,,,,,
Havana,Camila Cabello featuring Young Thug,X,X,X,,,,,,
Mi Gente,"J Balvin, Willy William featuring Beyonce",X,X,,,X,,,,
Passionfruit,Drake,X,X,X,X,,,,,
Rockabye,"Clean Bandit featuring Anne-Marie, Sean Paul",X,X,,X,,,,,
Shape Of You,Ed Sheeran,X,X,X,,,,,,
